College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life,image
"SAGE University, Indore ",Madhya pradesh,Management,"70,000","70,000",8.7,8.7,7.9,8.8,9.2,8.5,9,"/images/SAGE_University,_Indore.png"
"Amity University, Gwalior ",Madhya pradesh,Management,"80,000","64,000",8.6,8.8,8.5,8.4,9.3,8,8.3,"/images/Amity_University,_Gwalior.png"
"Jagran LakeCity Business School, Bhopal ",Madhya pradesh,Management,"1,35,000","1,75,000",8.1,7.9,9,--,8.3,7.3,--,"/images/Jagran_LakeCity_Business_School,_Bhopal.png"
"VIT Bhopal University, Bhopal ",Madhya pradesh,Management,"70,000","43,000",7.9,8.6,7.7,8.4,7.1,8.1,7.4,"/images/VIT_Bhopal_University,_Bhopal.png"
"RKDF University, Bhopal ",Madhya pradesh,Management,"90,000","18,000",7.6,8,7,7.8,8,6.5,8.2,"/images/RKDF_University,_Bhopal.png"
Awadhesh Pratap Singh University ,Madhya pradesh,Management,"24,000","30,000",7.1,7.9,6.5,8.1,7.2,5.3,7.3,/images/Awadhesh_Pratap_Singh_University.png
Rabindranath Tagore University ,Madhya pradesh,Management,"50,000","90,000",7.7,8,7.4,7.8,8.6,6.4,7.8,/images/Rabindranath_Tagore_University.png
Oriental University ,Madhya pradesh,Management,"50,000","2,41,775",7.2,7.5,6.7,7.2,7.7,7.1,7.1,/images/Oriental_University.png
AKS University ,Madhya pradesh,Management,"54,000","60,000",7.3,7.8,5.9,8.2,7.6,6.9,7.4,/images/AKS_University.png
"ITM University, Gwalior ",Madhya pradesh,Management,"1,50,000","70,000",7.6,7.9,7,7.6,8.1,7.2,8,"/images/ITM_University,_Gwalior.png"
Jagran Lakecity University ,Madhya pradesh,Management,"1,35,000","1,75,000",8,8,7.9,7.8,8.6,7.4,8.1,/images/Jagran_Lakecity_University.png
Narsee Monjee Institute of Management Studies -[NMIMS ,Madhya pradesh,Management,"2,52,000","7,27,000",8.7,8.4,8.9,9.7,9.2,6.2,9.6,/images/Narsee_Monjee_Institute_of_Management_Studies_-[NMIMS.png
"Swami Vivekanand University, Sagar ",Madhya pradesh,Management,"27,600","42,600",6.3,6.9,5,7,6.4,5.6,6.6,"/images/Swami_Vivekanand_University,_Sagar.png"
Institute of Professional Education and Research ,Madhya pradesh,Management,"62,450","1,03,000",8.5,9,7.5,9,8.2,8,9.2,/images/Institute_of_Professional_Education_and_Research.png
"Institute of Management Studies, Devi Ahilya Vishwavidyalaya ",Madhya pradesh,Management,"63,600","59,211",7.7,8.1,6.9,8.1,7.1,7.7,8.1,"/images/Institute_of_Management_Studies,_Devi_Ahilya_Vishwavidyalaya.png"
LNCT University ,Madhya pradesh,Management,"85,000","45,000",9,9,8.8,9.3,8.8,8.9,8.9,/images/LNCT_University.png
Indian Institute of Management ,Kerala,Management,"22,50,000","45,000",8.9,8.9,8.9,9.1,9.1,9.1,8.3,/images/Indian_Institute_of_Management.png
Rajagiri Centre for Business Studies ,Kerala,Management,"7,00,000",--,7.7,7.3,7.5,7.9,7.5,8.1,7.7,/images/Rajagiri_Centre_for_Business_Studies.png
"SCMS Cochin School of Business, Cochin ",Kerala,Management,"3,75,000",--,7.5,8,8.1,7.4,8.3,7.2,6.1,"/images/SCMS_Cochin_School_of_Business,_Cochin.png"
National Institute of Technology Calicut,Kerala,Management,"27,405","82,405",8.1,8.4,7.9,7.7,8,8.1,8.2,/images/National_Institute_of_Technology_Calicut.png
Xavier Institute of Management and Entrepreneurship ,Kerala,Management,"4,00,000",--,9.1,9.2,8.7,9.3,9.2,9,9.1,/images/Xavier_Institute_of_Management_and_Entrepreneurship.png
Saintgits Institute of Management ,Kerala,Management,"2,27,000",--,8.7,8.7,8,9,8.7,8.8,8.7,/images/Saintgits_Institute_of_Management.png
Nehru College of Engineering and Research Centre ,Kerala,Management,"40,000",--,6.7,7,6.3,6.7,7.8,5.3,6.8,/images/Nehru_College_of_Engineering_and_Research_Centre.png
SCMS School of Technology and Management ,Kerala,Management,"3,60,000",--,7.8,7.9,7.7,8.4,7.5,8.3,7.2,/images/SCMS_School_of_Technology_and_Management.png
"Lead College of Management, Palakkad ",Kerala,Management,"7,00,000",--,7.6,7.3,7.6,7.8,7.4,7.9,7.8,"/images/Lead_College_of_Management,_Palakkad.png"
Farook Institute of Management Studies ,Kerala,Management,"1,70,000",--,8.9,9,9,9,9.1,8.1,8.9,/images/Farook_Institute_of_Management_Studies.png
Berchmans Institute of Management Studies ,Kerala,Management,"2,85,000",--,7.6,7.3,7,8,8.8,6.8,7.5,/images/Berchmans_Institute_of_Management_Studies.png
Holy Grace Academy of Management Studies ,Kerala,Management,"1,28,000",--,8.5,8.7,8.3,8.3,8.5,8.2,9,/images/Holy_Grace_Academy_of_Management_Studies.png
"MES College Marampally, Aluva ",Kerala,Management,--,--,8.8,8.9,8.4,9.1,9.3,8,9,"/images/MES_College_Marampally,_Aluva.png"
"Jain University, Kochi ",Kerala,Management,--,--,8.7,8.6,8.1,9.1,8.7,8.8,8.9,"/images/Jain_University,_Kochi.png"
Rajagiri Business School ,Kerala,Management,"12,30,500","3,25,000",8.2,8.4,7.4,8.1,8.9,7.5,9,/images/Rajagiri_Business_School.png
"Albertian Institute of Management- [AIM], Cochin ",Kerala,Management,"1,90,376",--,8,8,6.5,8.8,8.8,7.8,8.2,"/images/Albertian_Institute_of_Management-_[AIM],_Cochin.png"
Yuvakshetra Institute of Management Studies ,Kerala,Management,"96,000",--,6.9,7.7,5.8,6.8,8,6.5,6.7,/images/Yuvakshetra_Institute_of_Management_Studies.png
"IIKM Business School, Calicut ",Kerala,Management,"90,000","3,85,000",8.2,7.7,8,8,8.7,8.7,8,"/images/IIKM_Business_School,_Calicut.png"
"Naipunnya School of Management, Cherthala ",Kerala,Management,"18,000",--,7.5,7.4,6.8,8.1,7.8,7.6,7.3,"/images/Naipunnya_School_of_Management,_Cherthala.png"
State Institute of Hospitality Management ,Kerala,Management,"30,000","30,000",7.8,8.5,6.8,8,7.3,8.8,7.3,/images/State_Institute_of_Hospitality_Management.png
Kochi Business School ,Kerala,Management,"3,20,000","2,50,000",7.7,7.7,7.3,7.8,7.5,7.9,7.9,/images/Kochi_Business_School.png
Amrita School of Business ,Kerala,Management,"6,60,000",--,9.4,9.7,9,--,--,--,--,/images/Amrita_School_of_Business.png
Mar Athanasios College for Advanced Studies Tiruvalla ,Kerala,Management,"96,600",--,8.7,9.3,9.3,8.6,8.8,8,8.4,/images/Mar_Athanasios_College_for_Advanced_Studies_Tiruvalla.png
Amity Global Business School ,Kerala,Management,"1,61,000","2,99,000",8.6,9,7.5,8.8,8.6,8.6,9.2,/images/Amity_Global_Business_School.png
Bhavan's Royal Institute of Management ,Kerala,Management,"1,63,000",--,7.7,8,7.5,7.4,6.7,7.9,8.4,/images/Bhavan's_Royal_Institute_of_Management.png
"Don Bosco College Sulthan Bathery, Wayanad ",Kerala,Management,"38,600","45,000",7.9,8.3,6.8,8.5,8.3,6.8,8.5,"/images/Don_Bosco_College_Sulthan_Bathery,_Wayanad.png"
Girideepam Institute of Advanced Learning ,Kerala,Management,"89,000",--,7.2,8.4,5.4,8.6,7,6.6,7.3,/images/Girideepam_Institute_of_Advanced_Learning.png
Indian School of Business Management and Administration ,Kerala,Management,"14,900","95,900",9.2,9.7,9.7,9.3,9.3,9,8.3,/images/Indian_School_of_Business_Management_and_Administration.png
Indian Institute of Management ,Rajasthan,Management,"18,50,000","13,00,000",9,8.9,8.9,9.1,9,8.9,9,/images/Indian_Institute_of_Management.png
"Jaipuria Institute of Management, Jaipur ",Rajasthan,Management,"4,40,000",--,7.8,8.1,6.7,8,7.7,8.1,8,"/images/Jaipuria_Institute_of_Management,_Jaipur.png"
Birla Institute of Technology and Science ,Rajasthan,Management,"4,23,975","86,825",8.9,8.8,8.2,8.8,9,9,9.3,/images/Birla_Institute_of_Technology_and_Science.png
Institute of Rural Management ,Rajasthan,Management,"3,70,000",--,5.3,6,3.8,5.5,3.8,6.3,6.3,/images/Institute_of_Rural_Management.png
International School of Informatics and Management ,Rajasthan,Management,"32,000",--,7.8,8.3,7,8.2,7.1,7.9,8.1,/images/International_School_of_Informatics_and_Management.png
Institute of Agri Business Management ,Rajasthan,Management,"1,71,960",--,7.8,8.3,7.8,8.3,8.3,6.8,7.5,/images/Institute_of_Agri_Business_Management.png
"Jagannath University, Jaipur ",Rajasthan,Management,"75,000","1,55,000",7.3,7.1,6.7,7.9,7.7,6.9,7.4,"/images/Jagannath_University,_Jaipur.png"
"Jaipur National University, School of Business & ",Rajasthan,Management,"68,700","2,50,000",8.1,8.4,8,9,7.4,7.6,8.3,"/images/Jaipur_National_University,_School_of_Business_&.png"
"Poddar Management and Technical Campus, Jaipur ",Rajasthan,Management,"2,00,000",--,8.5,--,--,--,--,--,--,"/images/Poddar_Management_and_Technical_Campus,_Jaipur.png"
JECRC University ,Rajasthan,Management,"1,20,000","1,25,000",8.1,8.1,7.4,8.2,8.2,8.1,8.7,/images/JECRC_University.png
Jagan Institute of Management Studies ,Rajasthan,Management,"5,95,000",--,8.4,7.9,8.2,8.6,8.5,8.5,8.6,/images/Jagan_Institute_of_Management_Studies.png
"Amity University, Jaipur ",Rajasthan,Management,"3,34,000","22,40,000",8,7.8,7.6,7.8,8.9,7.4,8.7,"/images/Amity_University,_Jaipur.png"
University of Rajasthan ,Rajasthan,Management,"5,440","23,300",7.6,8.1,7.1,8.1,7.9,6.5,7.8,/images/University_of_Rajasthan.png
Taxila Business School ,Rajasthan,Management,"4,55,000","1,60,000",8.3,8.6,7.6,9,7.8,8.6,8.1,/images/Taxila_Business_School.png
"Singhania University, Jhunjhunu ",Rajasthan,Management,"42,000","22,000",7.1,7.1,6.7,7.1,7.1,7,7.3,"/images/Singhania_University,_Jhunjhunu.png"
Jaipur National University ,Rajasthan,Management,"1,80,500","1,32,000",7.5,7.9,7,7.7,7.8,6.7,7.6,/images/Jaipur_National_University.png
Manipal University ,Rajasthan,Management,"4,07,000","1,53,000",8.4,8.2,8.3,8.2,9.2,7.7,9,/images/Manipal_University.png
SunRise University ,Rajasthan,Management,"24,200","62,200",8.1,8.1,7.3,8.7,8.1,7.9,8.4,/images/SunRise_University.png
"OPJS University, Churu ",Rajasthan,Management,"93,800","36,200",7.2,7.1,7.6,7.6,7.7,6.3,6.8,"/images/OPJS_University,_Churu.png"
"Banasthali Vidyapith, Jaipur ",Rajasthan,Management,"1,63,500","1,61,500",8.5,8.8,8.2,8.9,8.6,7.9,8.8,"/images/Banasthali_Vidyapith,_Jaipur.png"
Suresh Gyan Vihar University ,Rajasthan,Management,"80,000","2,00,000",7.5,7.8,6.7,7.5,8.8,6.3,8,/images/Suresh_Gyan_Vihar_University.png
IIS (Deemed to be University) ,Rajasthan,Management,"4,77,300","99,300",8.3,8.6,8.5,8.6,8,7.9,8.4,/images/IIS_(Deemed_to_be_University).png
Madhav University ,Rajasthan,Management,"60,000","60,000",7.8,7.9,7.5,8.2,7.9,7.3,7.8,/images/Madhav_University.png
"Tantia University, Sriganganagar ",Rajasthan,Management,"40,000","75,000",8.6,8.8,8.4,9.3,8.8,7.1,9.1,"/images/Tantia_University,_Sriganganagar.png"
"Pacific University, Udaipur ",Rajasthan,Management,"42,500","50,000",7.7,7.8,7.3,8.1,7.8,7.2,8,"/images/Pacific_University,_Udaipur.png"
Management Development Institute ,Haryana,Management,"23,58,000","3,19,668",9,8.8,8.9,9,9.1,9.2,8.8,/images/Management_Development_Institute.png
Indian Institute of Management ,Haryana,Management,"5,05,000","1,30,000",8.5,8.7,8.6,8.4,8.4,8.6,8.2,/images/Indian_Institute_of_Management.png
"University Business School, Panjab University ",Haryana,Management,"25,660",--,8.3,8.1,8.4,8.4,7.9,8.1,8.7,"/images/University_Business_School,_Panjab_University.png"
"University School of Business, Chandigarh University ",Haryana,Management,"1,05,000","1,95,000",9.1,9.1,8.8,9.1,9.2,9.3,8.9,"/images/University_School_of_Business,_Chandigarh_University.png"
"IILM Institute for Business & Management [IILM-IBM], ",Haryana,Management,"1,15,000","1,15,000",6.5,6.4,5.7,6.3,6.3,7.3,6.8,"/images/IILM_Institute_for_Business_&_Management_[IILM-IBM],.png"
"O.P. Jindal Global University, Jindal Global Business ",Haryana,Management,"4,50,000","5,50,000",9.3,9.1,9.3,9.1,9.3,9.1,9.8,"/images/O.P._Jindal_Global_University,_Jindal_Global_Business.png"
"Faculty of Management Studies, Manav Rachna International ",Haryana,Management,"2,98,500","1,65,000",8.7,--,--,9,--,8,9,"/images/Faculty_of_Management_Studies,_Manav_Rachna_International.png"
JK Business School ,Haryana,Management,"93,000","3,58,900",8.2,8.2,8.3,8.2,8.4,7.6,8.4,/images/JK_Business_School.png
Manav Rachna International Institute of Research and ,Haryana,Management,"2,98,500","1,61,000",7.5,7.4,7.3,7.5,8.3,6.6,7.6,/images/Manav_Rachna_International_Institute_of_Research_and.png
"IBMR Business School, Gurgaon ",Haryana,Management,"2,97,000","5,75,000",8,8.3,7.8,8.2,7.8,8,7.8,"/images/IBMR_Business_School,_Gurgaon.png"
Tilak Raj Chadha Institute of Management & ,Haryana,Management,"40,540","76,900",8.1,8.3,7.2,8.8,7.2,8.5,8.8,/images/Tilak_Raj_Chadha_Institute_of_Management_&.png
Amity Business School ,Haryana,Management,"30,000",--,7.5,7.4,7.4,7.7,8,6.9,7.3,/images/Amity_Business_School.png
"SRM University Delhi NCR, Sonepat ",Haryana,Management,"1,72,500","2,86,000",7.8,8,7.5,7.9,8.1,7.6,7.9,"/images/SRM_University_Delhi_NCR,_Sonepat.png"
"Gurugram University, Gurgaon ",Haryana,Management,"40,000","40,000",8.2,8.6,7.4,8.4,8.6,8,8.1,"/images/Gurugram_University,_Gurgaon.png"
"Great Learning, Gurgaon ",Haryana,Management,"2,25,000","3,00,000",7.7,7.5,6,8.6,8,8.4,7.8,"/images/Great_Learning,_Gurgaon.png"
"PDM University, Bahadurgarh, Bahadurgarh ",Haryana,Management,"81,700","1,35,000",7.4,7.1,7.6,7.4,7.5,7.1,7.7,"/images/PDM_University,_Bahadurgarh,_Bahadurgarh.png"
BML Munjal University ,Haryana,Management,"5,25,000","2,72,000",8.1,8,8,7.9,8.5,7.8,8.3,/images/BML_Munjal_University.png
"Amity University, Gurgaon ",Haryana,Management,"4,32,000","2,48,000",7.7,7.8,7.1,7.6,8.6,7.1,8.1,"/images/Amity_University,_Gurgaon.png"
O. P. Jindal Global University ,Haryana,Management,"5,50,000","1,20,000",8.3,8.4,8.2,8.3,8.8,7.5,8.7,/images/O._P._Jindal_Global_University.png
"IILM University, Gurgaon ",Haryana,Management,"7,50,000","3,30,000",8.4,8.2,7.4,8.5,8.6,8.6,8.8,"/images/IILM_University,_Gurgaon.png"
ICFAI Business School ,Haryana,Management,"4,00,500",--,7.6,8.2,6.5,8.1,7.2,7.8,8,/images/ICFAI_Business_School.png
"Starex University, Gurgaon ",Haryana,Management,"1,00,000","65,000",8.8,9.1,9.1,8.7,8.6,8.5,8.7,"/images/Starex_University,_Gurgaon.png"
Great Lakes Institute of Management ,Haryana,Management,"14,01,000","14,01,000",8.5,8.7,8.2,8.5,8.8,8.6,8.4,/images/Great_Lakes_Institute_of_Management.png
Modern Vidya Niketan ,Haryana,Management,"90,000","95,000",7,7.2,6.4,7.7,7,6.8,6.8,/images/Modern_Vidya_Niketan.png
National Institute of Financial Management ,Haryana,Management,"15,00,000",--,8.8,9.3,9,8.7,8.1,8.1,9.4,/images/National_Institute_of_Financial_Management.png
Manav Rachna University ,Haryana,Management,"1,64,500","1,30,000",7.8,7.6,7.5,7.7,8.8,7.3,7.9,/images/Manav_Rachna_University.png
"Sushant University / Ansal University, Gurgaon ",Haryana,Management,"1,45,000","3,98,000",7.8,8,8,7.9,8.4,7,7.5,"/images/Sushant_University_/_Ansal_University,_Gurgaon.png"
"NIILM University, Kaithal ",Haryana,Management,"2,40,000","40,000",8.1,8.6,7.9,8.5,7.9,7.8,8.1,"/images/NIILM_University,_Kaithal.png"
Indian Institute of Management ,Gujarat,Management,"28,00,000","10,00,000",9,8.9,8.9,9.1,9,9.2,8.6,/images/Indian_Institute_of_Management.png
"Institute of Management, Nirma university, Ahmedabad ",Gujarat,Management,"5,02,000","58,500",8.6,8.3,8.5,8.8,9,8.3,8.7,"/images/Institute_of_Management,_Nirma_university,_Ahmedabad.png"
Institute of Rural Management ,Gujarat,Management,"8,60,000","5,83,400",8.9,8.9,8.8,9,9,8.9,8.9,/images/Institute_of_Rural_Management.png
ITM Vocational University ,Gujarat,Management,"62,000","57,000",7.8,8.7,7.4,8,7.5,7.1,7.9,/images/ITM_Vocational_University.png
Maharaja Sayajirao University of Baroda ,Gujarat,Management,"23,100","21,660",7.9,8.3,7,8.4,8,7.2,8.4,/images/Maharaja_Sayajirao_University_of_Baroda.png
S. V. Institute of Management ,Gujarat,Management,"97,000",--,7.8,8.2,7.3,8.6,7.6,7.2,8.1,/images/S._V._Institute_of_Management.png
Sardar Patel University ,Gujarat,Management,"68,140","12,500",7.8,8.6,7,8.5,7.7,7.3,7.8,/images/Sardar_Patel_University.png
Nirma University ,Gujarat,Management,"5,02,000","97,200",8.4,8.6,8,8.4,9.1,8.1,8.2,/images/Nirma_University.png
Pandit Deendayal Petroleum University [PDPU] / (Energy ,Gujarat,Management,"2,49,000","4,19,000",8.6,8.3,8.3,8.1,9.4,8.1,9.4,/images/Pandit_Deendayal_Petroleum_University_[PDPU]_/_(Energy.png
"CEPT University, Ahmedabad ",Gujarat,Management,"3,78,000",--,8.2,8.6,7.7,8.4,8.3,8.1,8,"/images/CEPT_University,_Ahmedabad.png"
Ganpat University ,Gujarat,Management,"95,000","60,000",8.1,8.2,7.2,8.1,8.5,7.8,8.6,/images/Ganpat_University.png
"Indus University, Ahmedabad ",Gujarat,Management,"85,000","65,500",7.5,7.9,7,7.7,7.8,6.8,7.9,"/images/Indus_University,_Ahmedabad.png"
Marwadi University ,Gujarat,Management,"67,000","1,20,000",8.3,8.2,8.3,8.2,9.1,7.7,8.2,/images/Marwadi_University.png
MICA ,Gujarat,Management,"21,00,000","70,000",9,8.8,9,9,9.1,8.8,9.1,/images/MICA.png
Navrachana University ,Gujarat,Management,"1,14,000","1,10,000",7.7,7.7,7.4,8.2,8,7.2,7.8,/images/Navrachana_University.png
"GLS University, Ahmedabad ",Gujarat,Management,"1,22,000","50,000",7.9,8,6.9,8.5,8.1,7.6,8.5,"/images/GLS_University,_Ahmedabad.png"
Karnavati University ,Gujarat,Management,"1,80,000","1,44,000",8.9,8.6,8.2,9.3,9.4,8.6,9.3,/images/Karnavati_University.png
Children's University ,Gujarat,Management,"1,500",--,8.1,8.3,7.7,8.8,7.7,7.4,8.5,/images/Children's_University.png
Indian School of Business Management and Administration ,Gujarat,Management,"14,900","69,900",8,8.8,7.6,8.1,8,7.9,7.8,/images/Indian_School_of_Business_Management_and_Administration.png
"Uka Tarsadia University, Bardoli ",Gujarat,Management,"81,000","67,000",8.1,7.8,7.9,8.2,9.4,6.9,8.3,"/images/Uka_Tarsadia_University,_Bardoli.png"
"GSFC University, Vadodara ",Gujarat,Management,"86,000",--,8.1,8.8,6.4,8.7,8.5,7.9,8.4,"/images/GSFC_University,_Vadodara.png"
"Auro University, Surat ",Gujarat,Management,"2,90,000","2,70,000",8.3,8.2,8.5,8.6,8.7,7.2,8.6,"/images/Auro_University,_Surat.png"
RK University ,Gujarat,Management,"89,500","61,000",8.5,9,7.9,8.6,9,7.8,8.5,/images/RK_University.png
"Sumandeep Vidyapeeth, Vadodara ",Gujarat,Management,"70,200","80,000",7.8,8,7,8.2,8,7.5,8,"/images/Sumandeep_Vidyapeeth,_Vadodara.png"
"Atmiya University, Rajkot ",Gujarat,Management,"92,650","21,300",8.1,8.8,7.5,8.6,8.4,7.4,7.9,"/images/Atmiya_University,_Rajkot.png"
"Ahmedabad Management Association, Ahmedabad ",Gujarat,Management,"40,000","40,000",8.6,9.2,8.3,8.8,8.6,8.1,8.3,"/images/Ahmedabad_Management_Association,_Ahmedabad.png"
"B K School of Business Management, Ahmedabad ",Gujarat,Management,"15,000","10,000",7.9,8.3,6.8,8.2,7.4,8.3,8.1,"/images/B_K_School_of_Business_Management,_Ahmedabad.png"
"C. U. Shah University, Wadhwan ",Gujarat,Management,"22,100","58,500",7.7,7.6,7,8.2,7.8,7.4,7.9,"/images/C._U._Shah_University,_Wadhwan.png"
"P.P. Savani University, Surat ",Gujarat,Management,"78,500","1,98,500",9.3,9.4,8.9,9.5,9.6,8.7,9.4,"/images/P.P._Savani_University,_Surat.png"
"University Business School, Panjab University ",Punjab,Management,"25,660",--,8.3,8.1,8.4,8.4,7.9,8.1,8.7,"/images/University_Business_School,_Panjab_University.png"
"University School of Business, Chandigarh University ",Punjab,Management,"1,05,000","1,95,000",9.1,9.1,8.8,9.1,9.2,9.3,8.9,"/images/University_School_of_Business,_Chandigarh_University.png"
"Chitkara University, Chitkara Business School ",Punjab,Management,"2,12,000","2,83,000",8.5,8.9,7.4,8.5,9.1,8.5,8.6,"/images/Chitkara_University,_Chitkara_Business_School.png"
"PCTE Group of Institutes, Ludhiana ",Punjab,Management,"55,550","97,350",7.7,8,7.2,8,8,6.8,8.3,"/images/PCTE_Group_of_Institutes,_Ludhiana.png"
Chandigarh Business School of Administration ,Punjab,Management,"49,900","92,000",8,8,7.4,8.1,8,8.4,8.3,/images/Chandigarh_Business_School_of_Administration.png
Baba Farid College of Management and Technology ,Punjab,Management,"1,08,700",--,8.3,8.4,8.3,8.4,8.3,7.9,8.4,/images/Baba_Farid_College_of_Management_and_Technology.png
Chitkara University ,Punjab,Management,"5,66,000","3,50,000",8.5,8.4,7.7,8.5,8.9,8.7,8.7,/images/Chitkara_University.png
Indian Institute of Management ,Punjab,Management,"6,00,000","9,50,000",9,8.8,9.1,9.1,8.9,9.1,8.7,/images/Indian_Institute_of_Management.png
"RIMT University, Gobindgarh ",Punjab,Management,"1,50,000","57,000",7.6,7.9,7.3,7.8,8,6.7,7.8,"/images/RIMT_University,_Gobindgarh.png"
"Guru Kashi University, Bathinda ",Punjab,Management,"62,580","24,580",7.5,7.4,7.2,8,7.2,7.2,7.8,"/images/Guru_Kashi_University,_Bathinda.png"
"Rayat Bahra University, Mohali ",Punjab,Management,"50,000","1,10,000",7.7,7.8,7.4,8,7.7,7.4,7.6,"/images/Rayat_Bahra_University,_Mohali.png"
"DAV University, Jalandhar ",Punjab,Management,"87,500","1,45,000",7.9,8.4,7,8.4,7,8,8.5,"/images/DAV_University,_Jalandhar.png"
"GNA University, Phagwara ",Punjab,Management,"54,000","1,67,400",7.7,8,7.6,7.9,7.8,7.2,7.7,"/images/GNA_University,_Phagwara.png"
Indian School of Business ,Punjab,Management,"10,20,000","47,60,000",8.9,9,8.9,9,8.9,8.6,8.7,/images/Indian_School_of_Business.png
"Adesh University, Bathinda ",Punjab,Management,"90,000","1,37,500",8.6,8.8,8.8,8.5,9,8.3,8.3,"/images/Adesh_University,_Bathinda.png"
Sant Baba Bhag Singh University ,Punjab,Management,"82,500","44,000",8.5,9,8.2,8.6,8,8.5,8.6,/images/Sant_Baba_Bhag_Singh_University.png
Sri Guru Granth Sahib World University ,Punjab,Management,"1,04,000","42,000",8.8,8.6,9,9,9.1,8.4,8.7,/images/Sri_Guru_Granth_Sahib_World_University.png
"Sri Aurobindo College of Commerce and Management, ",Punjab,Management,"77,000",--,7.1,8.9,6.8,8.8,6.9,3.7,7.3,"/images/Sri_Aurobindo_College_of_Commerce_and_Management,.png"
LM Thapar School of Management ,Punjab,Management,"4,15,860","4,80,000",7.9,7.7,8.1,8,7.9,7.7,7.8,/images/LM_Thapar_School_of_Management.png
Global Institute of Management ,Punjab,Management,"46,850","80,750",--,--,--,--,--,--,--,/images/Global_Institute_of_Management.png
Malout Institute of Management and Information Technology ,Punjab,Management,"44,950","90,549",7.7,8,7.8,7.4,8.3,6.4,8,/images/Malout_Institute_of_Management_and_Information_Technology.png
Punjab College of Technical Education ,Punjab,Management,"51,250","96,650",8,7.7,8.1,7.9,8.3,7.1,8.8,/images/Punjab_College_of_Technical_Education.png
Global Institute of Management and Emerging Technologies ,Punjab,Management,--,--,7.4,7.6,7,7.7,8.4,6.3,7.3,/images/Global_Institute_of_Management_and_Emerging_Technologies.png
"UEI Global, Ludhiana ",Punjab,Management,"1,10,000","35,000",8.4,8.2,8.2,8.3,8.3,9,8.5,"/images/UEI_Global,_Ludhiana.png"
Rayat Institute of Management ,Punjab,Management,"46,850","80,750",9.3,--,--,--,--,--,--,/images/Rayat_Institute_of_Management.png
Synetic Business School ,Punjab,Management,"46,250","90,000",7.4,6.3,--,--,7.7,8.3,--,/images/Synetic_Business_School.png
Cordia Institutes of Hospitality and Tourism Management ,Punjab,Management,"62,850",--,--,--,--,--,--,--,--,/images/Cordia_Institutes_of_Hospitality_and_Tourism_Management.png
Cordia Business School ,Punjab,Management,"35,000","85,000",--,--,--,--,--,--,--,/images/Cordia_Business_School.png
Indian Institute of Management ,West bengal,Management,"27,00,000","2,68,000",8.9,8.9,8.8,9,8.8,9.1,8.5,/images/Indian_Institute_of_Management.png
Vinod Gupta School of Management ,West bengal,Management,"6,00,000","10,000",8.9,9,8.7,8.8,9.1,8.7,9.1,/images/Vinod_Gupta_School_of_Management.png
"International Management Institute- [IMI], Kolkata ",West bengal,Management,"6,27,950","1,02,000",8.6,8.8,8.4,8.7,8.9,8.6,8.3,"/images/International_Management_Institute-_[IMI],_Kolkata.png"
Indian Institute of Social Welfare and Business ,West bengal,Management,"2,55,000","35,000",7.7,8.6,6.5,8.3,6.9,8,8,/images/Indian_Institute_of_Social_Welfare_and_Business.png
Calcutta Business School ,West bengal,Management,"3,50,000",--,8.5,8.4,8.6,8.4,8.4,8.8,8.5,/images/Calcutta_Business_School.png
Eastern Institute for Integrated Learning In Management ,West bengal,Management,"2,70,000","6,50,000",7.5,7.6,6.6,7.5,7.4,8.1,7.6,/images/Eastern_Institute_for_Integrated_Learning_In_Management.png
ICFAI Business School ,West bengal,Management,"4,00,500",--,8.8,9.2,8.2,9.2,8.5,8.9,8.9,/images/ICFAI_Business_School.png
Institute of Engineering and Management ,West bengal,Management,"3,20,000","1,15,000",7.5,8.2,6.5,8,6.7,8.4,7.2,/images/Institute_of_Engineering_and_Management.png
Bhartiya Vidya Bhavan Institute of Management Science ,West bengal,Management,"1,06,000","5,51,000",8,8.5,6.8,8.8,8.2,7.4,8.3,/images/Bhartiya_Vidya_Bhavan_Institute_of_Management_Science.png
Institute of Management Study ,West bengal,Management,"55,000","2,60,000",7.3,7.8,6.4,7.7,7.6,7.3,6.8,/images/Institute_of_Management_Study.png
"Amity University, Kolkata ",West bengal,Management,"80,000","1,90,000",8.2,8.1,7.7,8.4,8.8,7.4,8.5,"/images/Amity_University,_Kolkata.png"
"Techno India University, Kolkata ",West bengal,Management,--,--,8,8.2,7.4,8.2,8.1,7.8,8.4,"/images/Techno_India_University,_Kolkata.png"
"Adamas University, Kolkata ",West bengal,Management,"82,000","2,51,400",8.2,8.3,7.5,8.5,9,7.8,7.8,"/images/Adamas_University,_Kolkata.png"
"Brainware University, Kolkata ",West bengal,Management,"3,37,200","1,00,000",7.9,8.3,7.6,7.9,8.2,7.8,7.3,"/images/Brainware_University,_Kolkata.png"
Sister Nivedita University ,West bengal,Management,"1,19,000","3,51,000",8.2,8.2,7.6,8.9,7.9,7.8,8.7,/images/Sister_Nivedita_University.png
St. Xavier's University ,West bengal,Management,"5,55,000","1,32,000",8.4,8.7,8,8.3,8.9,7.8,8.4,/images/St._Xavier's_University.png
Management Development Institute ,West bengal,Management,"4,41,000",--,8.4,8.3,8.7,8.4,8.2,7.9,8.6,/images/Management_Development_Institute.png
